,repository_name
0,.github
1,ads-advanced-tools-docs
2,ads-pao-amznjs-gtm-template
3,alexa-coho
4,alexa-skills-kit-js
5,amazon-ads-advertiser-audience-normalization-sdk-py
6,amazon-advertising-api-php-sdk
7,amazon-codeguru-profiler-for-spark
8,amazon-frustration-free-setup-certification-tool
9,amazon-hub-counter-api-docs
10,amazon-hub-counter-api-samples
11,amazon-hub-counter-sdk-java
12,amazon-hub-support
13,amazon-instant-access-sdk-java
14,amazon-instant-access-sdk-net
15,amazon-instant-access-sdk-php
16,amazon-instant-access-sdk-ruby
17,amazon-launcher-integration-cordova-plugin
18,amazon-marketing-stream-examples
19,amazon-mcf-plugin-for-magento-1
20,amazon-multi-token-completion
21,amazon-nearest-neighbor-through-ecc
22,amazon-pay-api-sdk-dotnet
23,amazon-pay-api-sdk-java
24,amazon-pay-api-sdk-nodejs
25,amazon-pay-api-sdk-php
26,amazon-pay-sdk-csharp
27,amazon-pay-sdk-java
28,amazon-pay-sdk-php
29,amazon-pay-sdk-python
30,amazon-pay-sdk-ruby
31,amazon-pay-sdk-samples
32,amazon-payment-files-tools
33,amazon-payments-magento-2-plugin
34,amazon-ray
35,amazon-s3-gst-plugin
36,amazon-sidewalk-android-samples
37,amazon-sidewalk-ios-samples
38,amazon-succinct-doc-representation
39,amazon-template-library
40,amazon-weak-ner-needle
41,amigitenough
42,amzn-drivers
43,amzn-ec2-ena-utilities
44,auction-gym
45,augment-the-pairs-wacv2024
46,autotrail
47,aws-apigateway-client-lib
48,aws-sigv4-signing-samples
49,awsssmchaosrunner
50,basis-point-sets
51,buy-with-prime-automate-tenant-validation
52,buy-with-prime-cdk-constructs
53,buy-with-prime-event-accelerator
54,buy-with-prime-monitoring-sample-cdk
55,buy-with-prime-oauth-handler-ec2
56,buy-with-prime-saas-integration
57,chalet-charging-location-for-electric-trucks
58,computer-vision-basics-in-microsoft-excel
59,confident-sinkhorn-allocation
60,convolutional-handwriting-gan
61,cosearcher
62,credence-to-causal-estimation
63,data-jack-knife
64,debiased-balanced-interleaving
65,differential-privacy-bayesian-optimization
66,distance-assistant
67,drs-sample-android-app
68,drs-sample-ios-app
69,emukit-playground
70,eslint-plugin-no-date-parsing
71,exoplayer-amazon-port
72,explainable-text-vqa
73,faithful-data2text-cycle-training
74,fashion-attribute-disentanglement
75,fire-app-builder
76,firetv-sample-touch-app
77,ftv-livetv-sample-tv-app
78,gameon-sample-game-unity
79,gameon-starter-kit-unity
80,git-commit-template
81,glad
82,golang-gitoperations
83,halo-third-party-sdk-for-java
84,halo-third-party-sdk-for-node-js
85,halo-third-party-sdk-for-python
86,hawktracer
87,image-misspell-coling2020
88,image-to-recipe-transformers
89,ion-object-mapper-dotnet
90,jekyll-doc-project
91,kqr
92,login-with-amazon-oscommerce
93,login-with-amazon-wordpress
94,merlin-on-demand-callgraph
95,metalearn-leap
96,milan
97,multiconer-baseline
98,multilingual-keyphrase-generation
99,multimodal-affinities
100,MXFusion
101,nimbus-jose-jwt_aws-kms-extension
102,node-jose_aws-kms-extension
103,openapi-swift-code-generate
104,orthogonal-additive-gaussian-processes
105,oss-attribution-builder
106,oss-contribution-tracker
107,oss-dashboard
108,pecos
109,pretraining-or-self-training
110,python-jose_aws-kms-extension
111,rdma-core
112,refuel-open-domain-qa
113,rete-thewebconf-2022
114,rheoceros
115,robotiq-gripper-interface
116,sample-fire-tv-app-video-skill
117,selling-partner-api-docs
118,selling-partner-api-models
119,selling-partner-api-samples
120,seqzero
121,service-model-swift-code-generate
122,sketch-constructor
123,smoke-aws
124,smoke-aws-credentials
125,smoke-aws-generate
126,smoke-aws-support
127,smoke-dynamodb
128,smoke-framework
129,smoke-framework-application-generate
130,smoke-framework-examples
131,smoke-http
132,sparse-vqvae
133,ss-aga-kgc
134,sto-transformer
135,style-dictionary
136,supply-chain-simulation-environment
137,tiny-attribution-generator
138,trans-encoder
139,user-satisfaction-modeling
140,workspace-resolver
141,xfer
142,zeek-plugin-bacnet
143,zeek-plugin-enip
144,zeek-plugin-profinet
145,zeek-plugin-s7comm
146,zeek-plugin-tds
147,zero-shot-rlhr
148,
149,
150,Smarty
151,JavaScript
152,
153,Python
154,PHP
155,Java
156,Python
157,CSS
158,Java
159,Java
160,PowerShell
161,Java
162,C#
163,PHP
164,Ruby
165,JavaScript
166,Python
167,PHP
168,Python
169,Jupyter Notebook
170,C#
171,Java
172,JavaScript
173,PHP
174,C#
175,Java
176,PHP
177,Python
178,Ruby
179,PHP
180,Kotlin
181,PHP
182,Python
183,C
184,Kotlin
185,Swift
186,Python
187,C++
188,Python
189,Go
190,C
191,Python
192,Jupyter Notebook
193,Python
194,Python
195,
196,Java
197,Kotlin
198,Python
199,JavaScript
200,TypeScript
201,Python
202,TypeScript
203,JavaScript
204,TypeScript
205,Python
206,
207,Jupyter Notebook
208,Python
209,Python
210,Python
211,Java
212,Jupyter Notebook
213,Python
214,Python
215,Java
216,Objective-C
217,JavaScript
218,TypeScript
219,Java
220,
221,Python
222,Python
223,Java
224,Java
225,Java
226,C#
227,C#
228,JavaScript
229,JavaScript
230,Go
231,Java
232,TypeScript
233,Python
234,C++
235,
236,Python
237,C#
238,HTML
239,
240,PHP
241,PHP
242,JavaScript
243,Python
244,Scala
245,Python
246,Python
247,Python
248,Python
249,Java
250,TypeScript
251,Swift
252,Python
253,TypeScript
254,TypeScript
255,Ruby
256,Python
257,Python
258,Python
259,C
260,Python
261,Python
262,Python
263,C++
264,Java
265,HTML
266,Java
267,Java
268,Python
269,Swift
270,JavaScript
271,Swift
272,Swift
273,Swift
274,Swift
275,Swift
276,Swift
277,Swift
278,Swift
279,Swift
280,Python
281,Python
282,Python
283,JavaScript
284,Python
285,TypeScript
286,Python
287,Python
288,JavaScript
289,Python
290,Zeek
291,Zeek
292,Zeek
293,Zeek
294,Zeek
295,Python
